Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Bev Clark,https://www.trailjournals.com//journal/entry/556690,"Will be leaving in a few days for the AT. very excited, have wanted to do this for many years. Here I am.",,Kathadin,"Mar 17, Fri",0
Bev Clark,https://www.trailjournals.com//journal/entry/556902,Heading to Georgia today. Springer Mt tomorrow. I'll be on the trail with my friend Kathy.,,Kathadin,"Mar 19, Sun",0
Bev Clark,https://www.trailjournals.com//journal/entry/556968,Kathy and I are now registered will be starting tomorrow morning. so excited for this adventure,,Appalachian Trail/ Katahdin,"Mar 19, Sun",0
