Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Grey beard & Ody,https://www.trailjournals.com//journal/entry/523785,Spending a couple data in Ga. Starting trail 3-22-16,,Bus to Atlanta,"Mar 17, Thu",0
Grey beard & Ody,https://www.trailjournals.com//journal/entry/524186,Got pack smaller and lighter.Starting tomorrow morning.,,View Entry,"Mar 20, Sun",0
Grey beard & Ody,https://www.trailjournals.com//journal/entry/524187,Low at Springer Mountain 25 tomorrow. I hope we are ready.,,View Entry,"Mar 20, Sun",0
