Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Sleepy G,https://www.trailjournals.com//journal/entry/480224,just got my 60lb weight vest....walked around the house for 10 minutes and it brought back flashbacks on how I felt when I use to weigh 250....heart racing and out of breath......man I am out of shape!......well here goes my beginning journey of preparation and getting in shape for my hike.,,getting in shape,"Jan 15, Thu",0
Sleepy G,https://www.trailjournals.com//journal/entry/480283,I have been doing so much gear research that I don't know even where to begin.,,A.T.,"Jan 16, Fri",0
Sleepy G,https://www.trailjournals.com//journal/entry/480284,I bought a charging pack for my iphone...so I can charge my phone while on the trail...I testing it now...will keep you posted.,"computer
",A.T.,"Jan 17, Sat",0
