Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Chewy Chomp,https://www.trailjournals.com//journal/entry/523035,This is a test entry. Also 9 days to go be for I leave Montana and start the journeys to the AT!,"montana
",View Entry,"Mar 09, Wed",0
Chewy Chomp,https://www.trailjournals.com//journal/entry/523045,test 2,"Montana
",View Entry,"Mar 10, Thu",0
Chewy Chomp,https://www.trailjournals.com//journal/entry/523904,"Travel day to Amicoloa Falls GA, then start the appalachian trail on saturday!!!!!Good buy MT see you in 6 months","Montana
","Amicoloa Falls, GA","Mar 11, Fri",0
