Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Terry ,https://www.trailjournals.com//journal/entry/552839,journal test #1,,journal test #1,"Jan 01, Sun",0
Terry ,https://www.trailjournals.com//journal/entry/552840,journal test #2,,journal test #2,"Jan 02, Mon",0
Terry ,https://www.trailjournals.com//journal/entry/552841,journal test #3 - is this thing on?!,,journal test #3,"Jan 02, Mon",0
Terry ,https://www.trailjournals.com//journal/entry/555484,"So...It's almost time to take off and I am pretty darn excited...and freakin out!...can't begin to tell u how many times I have packed and unpacked gear in the last few days.Because I have family and friends who have asked for updates along the way, I am gonna attempt to maintain this online journal...not gonna make any guarantees, but I'll give it my best shot.I want to say a huge thank u to all of u who have been kind enough to encourage and support me goin into this...and I hope to see a lot of u at the trailheads along the way...come walk with me!",,View Entry,"Mar 02, Thu",0
