Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Gumby,https://www.trailjournals.com//journal/entry/606882,"Planning and preparations continue with creating a strawman schedule to help gauge potential mail drop locations along the trail. I continue to lift weights 3 times/week, run 3-6  miles and hike with a loaded pack.",, Home,"Jan 20, Sun",0
Gumby,https://www.trailjournals.com//journal/entry/606884,Debating whether to use a tent foot print or no and if Tyvek will work. ,,Home,"Jan 23, Wed",0
Gumby,https://www.trailjournals.com//journal/entry/606883,I setup my trail journal account and started to backfill some of the planning and prepping activities that have led me to this point.,,Home,"Feb 06, Wed",0
