Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Sandy ,https://www.trailjournals.com//journal/entry/662552,"Well, today was supposed to be a nero but ended up doing 9 miles. In my defense, I was very leisurely to get up and going this morning as I got on trail at 9:50 which is SO LATE for a hiker. However, a big breakthrough was made in packing my pack smaller as the shuttle driver pointed out how to better pack and compress the gear and now my pack is shorter than me when I’m wearing it!! It’s the little things in life - not that it made a big difference wearing it but I look MUCH less of a knob. After 4 miles we took an hour lunch break where I wrangled Russet Potato into a pun competition, which probably made S regret hiking with me. Lunches are much longer with others, as hiking solo I struggle to make myself take my full union-mandated 30 minute lunch, as I like to call it. Post lunch and my victory in punning, we did another 5 to cross the GA / NC border and cross the first state off our list! 1 down, 12 to go.","Dick’s Creek Gap
",Bly Gap Campsite,"Apr 19, Wed",9
Sandy ,https://www.trailjournals.com//journal/entry/662562,"Overhead today:
Guy on the trail when he heard someone walked off to pee: “man, women aren’t worth it”


Today we were hiking and I noticed signs saying we were in a bear sanctuary, but thought nothing of it. There had been reports of bears stealing food at the shelters but we were staying at a campsite so thus less crowded / less likely bears would know food was there right? Hm….


Hiking over Standing Indian mountain was like passing through another fairytale, but an unsanitized Hans Christian Andersen one with the sides falling rapidly away from us as we passed through naked, sun bleached bone white trees. 


We got to camp and got to know better Dance Party, Snackpack, and Crypt who we had been leapfrogging the past 2 days. The water source was “0.10 miles away” but was more like 0.25-0.3 one-way but quite nice for a sponge bath, or in this case a shamwow bath. I sang lustily on my way there and back to deter any bears, but it would be fine right? They’re shy and fear human encounters right?


I went to do my last bathroom break before bed and was looking off into the distance and thought to myself “hm that log kind of looks like a bear, ha ha it’s just pareidolia - oh that log just laid down it’s a bear HOLY FUCKING SHIT.” I had NEVER seen a bear in the wild before and to not have the barrier of ANYTHING between us almost made me weep in terror. He was big, but fat. Extremely fat, as if he had been feasting off hiker food for ages. 


I slinked back into my tent and whispered for S, who groggily said “yes?” and I whispered back “there’s a bear!!!” Alas S could not hear me, so I crawled out and went to his tent and said louder “there’s a bear!!”. That got his attention and he came out to look, and the bear looked at us looking at him, without a care in the world. He was laying down, clearly waiting for us to go to bed so he could take our food and be on his way, as if we were merely food delivery people leaving his takeout on his doorstep. The others heard our chatter and came out to look, and the bear decided to leave after hearing us but not fearfully. More of an “ah I’ll come back when you’re asleep, suckers.” I went back to my tent, thinking I would be too scared to fall asleep, and then promptly passed out lol. To be continued….","Bly Gap Campsite
",Beech Gap,"Apr 20, Thu",12.10
Sandy ,https://www.trailjournals.com//journal/entry/662567,"Well… the bears came overnight lol. As retold by various folks in the morning:


S woke around 12 and heard a bear tearing into a bag, and ostensibly another one panting behind him. Sweet Potato (formerly known as Russet Potato) heard it too, but was waiting in his tent for someone else to screw up the courage to confront the bears. After 15 or so minutes S decided to go out, and Sweet Potato joined him. They somehow decided to pee to show dominance to the bear (lol) and act big and scary (S shouted “hey fucker”). The bear grumbled off (after having shredded S’s bag and punctured Sweet Potato’s bag) and they went back to bed but could hear the bears circling the camp.
Me, the one who had spotted the first CHONKY bear last night? Happily asleep. 


In the morning we surveyed the damage: Sweet Potato’s stove was shredded and S’s snacks were sadly consumed. After a few minutes to duly mourn their loss and redivide food to last for the next 1.5 days (and some donations from the others at the campsites), we headed out. The hike itself was fairly nondescript and easy today until the STEEP AS FUCK CLIMB up Albert Mountain and to the fire tower (which reminded me of the watch platforms at Cape Canaveral). We rolled onwards into camp and had a dank multi-course dinner. Hopefully our food and camp stays unmolested tonight (this is! Our privacy square!). The forecast calls for light showers for 2 hours, we’ll see how that goes. Haven’t been rained on yet!
In positive news today we passed mile 100!","Beech Gap
",Long Branch Shelter,"Apr 21, Fri",11.80
Sandy ,https://www.trailjournals.com//journal/entry/663451,"I woke up to the middle of the night to the sound of rain drumming, which is funny that was what woke me up and not Sweet Potato shouting “BEAR!” the night before. Awake, I stared at the roof of my tent pondering its water repellency when a bolt of lightning cracks overhead - what do I do now? I tried to Google ‘is it safe to stay in your tent during a light night storm?’ but had no service. So… I stood in the shelter for a minute and thought ‘eh fuck it, I’ll go back to sleep in my tent and if it hits me it hits me.’


In the morning I had to use the privy and set a new hiking record hustling to the next one, a little over 3 mph. Once I did my business, I hiked the remaining 4 more slowly now that I wasn’t fueled by urgency.  We got picked up by Sherpa Al, with whom I bonded over being from the NYC region, and got dropped off at the Hilltop Inn which was… very 70s - although we had a suite which was quite nice.


Despite it being a nero, it wasn’t restful as i would’ve liked as I ended up hustling around town for gear shopping, burgers and milkshakes, then all the way across town and back for a massage, supermarket run for the essentials (Epsom salts and kombucha), some crap reality TV time with the guys, and then dinner with other folks (a hard life!). I saw a lot of friends from prior days roll into the Hilltop Inn and there was many a happy reunion in the motel parking lot.","Long Branch Shelter
",Franklin NC,"Apr 22, Sat",7.30
Sandy ,https://www.trailjournals.com//journal/entry/663453,"Zero day! But everything’s closed because small, rural town! 


I decided to do my chores - I washed my tent, sleeping pad, HMG pack, and kitchen wares - set them in the parking lot to dry while reading my book and updating my trail journal. We went to the sole Thai place in town for lunch and had pretty mediocre Thai food, and then walked to Ingles to resupply for our push to NOC. 


Friends I had met at Hostel Around the Bend texted asking if we had room to crash, as the weather was forecasted to be freezing that night so they somehow got a ride from where they were to meet us. As thanks they brought us a massive box of Cheez Its - perfect bribe! 


We ended having dinner with a large group of friends that had all rolled into Hilltop Inn independently, and got Mexican. Lovely to eat as a massive horde, staggering with our sore legs and full stomachs. After dinner I soaked my legs with S and Sweet Potato and we discussed where our headspaces were / fears coming up with the hike - always nice to have a deep meaningful convo with the homies.","Franklin NC
",Franklin NC,"Apr 23, Sun",0
Sandy ,https://www.trailjournals.com//journal/entry/663454,"It was hard getting out of bed, especially with my friend taking a zero and happily lazing in bed while I was packing. We got bagels at Brooklyn Bagels (I showed the guys where I was from based on the olde-timey map of  they had on the counter) and shuttled back to Winding Stair. 


Hike today was fine, I was bonking because I didn’t have enough carbs. We got to sit on the grass by Wayah Bald for a while (which had a decent public bathroom with 17 rolls of TP, good use of tax dollars!) and ambled the few hundred feet over to the fire tower for a while where WGUW caught up with us!! So I got to finally catch up with her before she sprinted off into the night.


We pushed to shelter and I had my Peak Refuel chicken pesto pasta (top tier along with their beef stroganoff) mixed with instant mashed potatoes and felt much better after the carb infusion. Very little calories and carbs can’t fix on a hike!","Franklin NC
",Wayah Shelter,"Apr 24, Mon",11
Sandy ,https://www.trailjournals.com//journal/entry/663455,"Today is my longest day mileage-wise so far! I felt good because I carboloaded yesterday, although I did not love the ridge walk and sketchy downhill. I hate heights, especially when the sides fall away without scrubby bush to obscure the drop off - of course Sweet Potato was as happy as a clam and said this was the first he was actually mentally engaged in the hike. Sorry the East Coast mountains are far more eroded than the west!
The campsite is beautiful, very wooded and in the center of a bowl of trees. Dance Party, Snackpack, and Crypt were there so we had dinner with them around the campfire along with some weekend warriors (using a 3 person tent for 1 person!! Think of all that extra weight they’re carrying… not UL of them (jokes)) Tomorrow NOC to eat food, resupply, recharge, go to outfitters. The usual!","Wayah Shelter
",Rufus Morgan Shelter,"Apr 25, Tue",15.50
Sandy ,https://www.trailjournals.com//journal/entry/663456,"It poured in the morning but we were safely under the eaves of the NOC consumer complex waiting for the restaurant to open. We had an incredibly disappointing breakfast at NOC, stared at the raging white water rapids, and contemplated the universe while stealing the toilet paper from the NOC bathroom. Today was a hard day of hiking, the shelter was stuffed to the brim and rocking with everyone hiding from the rain forecasted today and tomorrow.  Threatened to rain all day today, but didn’t - continuing my streak of dry hiking days so far.
I got christened the trail name of Cheeks after I said “this better give me an ass of an angel” while going uphill (I say this after every uphill). I also have a cheeky personality… allegedly… you’ll never indict me!","Rufus Morgan Shelter
",Sassafras Gap Shelter,"Apr 26, Wed",7.90
Sandy ,https://www.trailjournals.com//journal/entry/663461,"Today’s hike was cut short today due to the hard rain today, which was my first actual rainy day on the trail. After slipping and sliding downhill for miles we decided to bail out early and camp at Creekside Paradise and shower. After power washing the mud off I was swaddled in a bathrobe waiting for my clothes to dry. WGUW also was staying here, and LIKE THE ANGEL THEY ARE brought me Annie’s mac and cheese and kombucha. Dinner of champions.


The B&B is very beautiful but remote, full of guests that had been staying a while, and the darkness of the lodge and tenor of conversation gave it a vibe reminiscent of an Agatha Christie dinner party prior to the murder.","Sassafras Gap Shelter
",Stecoah Gap,"Apr 27, Thu",6.80
Sandy ,https://www.trailjournals.com//journal/entry/663467,"Today was a slackpack day to catch up on the missing miles but the endless slipping in the mud, endless feet pain due to wet socks and sliding around in my shoes, the rain, humidity, fog, blah blah resupplying up down around town had me feeling UGHHHH. Today was the first day I was GRUMPY and I kept venting to Sweet Potato about people at the shelters who love to come up and start monologuing their life stories when you’re trying to eat dinner. I was also in a mood because the internet was so nonexistent that I was unable to download Succession, which would have been a rich reward for slogging through the mud!! But it was not meant to be!! Alack.","Stecoah Gap
",Fontana Dam Road ,"Apr 28, Fri",13.70
