Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Just Plain Troy,https://www.trailjournals.com//journal/entry/661257,"My hiking buddy and I have spent the last three months in serious preparation of our April 6th start date. We plan on heading north from Springer Mountain and going as far as we can. 
It almost seems a curse to call it a thru hike so we will just call it really long hike.",,View Entry,"Mar 26, Sun",0
Just Plain Troy,https://www.trailjournals.com//journal/entry/661259,With the help of Gen.-X’ers and Millennials I am slowly learning/fumbling my way through “how to use” Trail Journals. It is a tiring endeavor.,,View Entry,"Mar 26, Sun",0
Just Plain Troy,https://www.trailjournals.com//journal/entry/661313,Pack and repack. Weigh and reweigh. Count and recount calories. Calories per ounce. An ounce on the foot is worth a pound in the pack? I was hoping that by going on a nice long hike I would get away from people and not have to think as much. Boy was I wrong.,,View Entry,"Mar 27, Mon",0
