Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Sherri Theos,https://www.trailjournals.com//journal/entry/631633,,"CT Rt 41 Undermountain Rd. (1502.8)
",Race Brook Falls(1514.0),"Jun 21, Sun",11.20
Sherri Theos,https://www.trailjournals.com//journal/entry/631634,,"Race Brook Falls (1513.8)
",Elbow Trail (1516.5),"Jun 22, Mon",2.70
Sherri Theos,https://www.trailjournals.com//journal/entry/631635,,"MA Rt 41 (1520.2)
",Tom Leonard Shelter (1530.2),"Sep 05, Sat",10
Sherri Theos,https://www.trailjournals.com//journal/entry/631636,,"Tom Leonard Shelter (1530.2)
",Jerusalem Rd Tyringham MA (1543.4),"Sep 06, Sun",13.20
