Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Tortuga 22,https://www.trailjournals.com//journal/entry/646590,Stephan Bondurant,,View Entry,"Jan 28, Fri",0
Tortuga 22,https://www.trailjournals.com//journal/entry/646591,Stephan Bondurant,,View Entry,"Jan 28, Fri",0
Tortuga 22,https://www.trailjournals.com//journal/entry/646592,Stephan Bondurant,,View Entry,"Jan 28, Fri",0
Tortuga 22,https://www.trailjournals.com//journal/entry/646864,"more planning and training
Decided to walk approach trail the day we arrive get early start. Freshen up and get the jitters out 


Stephan Bondurant",,View Entry,"Feb 13, Sun",0
Tortuga 22,https://www.trailjournals.com//journal/entry/647071,Stephan Bondurant,,View Entry,"Feb 25, Fri",0
Tortuga 22,https://www.trailjournals.com//journal/entry/647126,Stephan Bondurant,,View Entry,"Feb 28, Mon",0
