Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
EASTWIND ,https://www.trailjournals.com//journal/entry/649754,,,View Entry,"Apr 27, Wed",0
EASTWIND ,https://www.trailjournals.com//journal/entry/649841,Starting date is slowly getting closer.  First I am going to Appalachian Trail Days to help at The Place Hostel.,,View Entry,"Apr 29, Fri",0
EASTWIND ,https://www.trailjournals.com//journal/entry/650600,One more week to start date.,,View Entry,"May 08, Sun",0
