Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
 Camel,https://www.trailjournals.com//journal/entry/654218,"First day of my first hike in preparation for the AT FlipFlop I am planning with my friend Tim on May 1, 2023This journal is a work in progress - as with all thing AT you don't want to start a hike (journal) without first practicing.","Pine Grove Furnace
",Alec Kenneday Shelter,"Jun 23, Thu",17
 Camel,https://www.trailjournals.com//journal/entry/654219,Day 2 - expecting hot day hiking across the farm fields of the Cumberland Valley.,"Alec Kenneday Shelter
",Darlington Shelter,"Jun 24, Fri",18
 Camel,https://www.trailjournals.com//journal/entry/654220,in progress . . .,"Darlington Shelter
",Duncannon - West Bank of Susquehanna,"Jun 25, Sat",12
 Camel,https://www.trailjournals.com//journal/entry/660135,,,View Entry,"Sep 23, Fri",0
 Camel,https://www.trailjournals.com//journal/entry/660137,,"Eagles nest shelter
",Ghte,"Feb 13, Mon",15
