Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Bone Spur - The Chappalachian,https://www.trailjournals.com//journal/entry/634240,,"Harpers Ferry
",Ed Garvey Shelter,"Mar 26, Fri",7.30
Bone Spur - The Chappalachian,https://www.trailjournals.com//journal/entry/634241,,"Ed Garvey Shelter
",Dahlgren Backpackers Campground,"Mar 27, Sat",10.90
Bone Spur - The Chappalachian,https://www.trailjournals.com//journal/entry/634242,,"Dahlgren Backpackers Campground
",Ensign Cowall Shelter,"Mar 28, Sun",13.90
Bone Spur - The Chappalachian,https://www.trailjournals.com//journal/entry/634243,,"Ensign Cowall Shelter
",Pen Mar Park,"Mar 29, Mon",9.50
