Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
GI Moe,https://www.trailjournals.com//journal/entry/560368,"I'm beginning to prep to thru hike next Feb. Would like to hike with a couple of other hikers. I will be 62 when I start out. I'm retired from Federal Civil Service and U.S. Army, 37 years, so time is not an issue.","Springer
",Thru,"Apr 16, Sun",10
GI Moe,https://www.trailjournals.com//journal/entry/560369,"I'm beginning to prep to thru hike next Feb. Would like to hike with a couple of other hikers. I will be 62 when I start out. I'm retired from Federal Civil Service and U.S. Army, 37 years, so time is not an issue.","Springer
",Thru,"Apr 16, Sun",10
GI Moe,https://www.trailjournals.com//journal/entry/560370,"I'm beginning to prep to thru hike next April on a flip flop from Harper's Ferry to Maine after the festival there ends. Would like to hike with a couple of other hikers. I will be 62 when I start out. I'm retired from Federal Civil Service and U.S. Army, 37 years, so time is not an issue.",,Thru,"Apr 17, Tue",10
