Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Getaway,https://www.trailjournals.com//journal/entry/593151,Lots of details to take care of before I head out.,,View Entry,"Jun 05, Tue",0
Getaway,https://www.trailjournals.com//journal/entry/593152,Just taking a short hike today to get ready for the long ones I will be doing once I get on trail.,,Harper's Ferry,"Jun 05, Tue",0
Getaway,https://www.trailjournals.com//journal/entry/593154,Just making sure the packs got everything I need to get started.,,Harper's Ferry,"Jun 05, Tue",0
Getaway,https://www.trailjournals.com//journal/entry/593251,Hiked 10.5 miles on the Highline Canal trail in Denver.  Not the prep I need but it will have to do.,,Harper's Ferry,"Jun 06, Wed",10.50
Getaway,https://www.trailjournals.com//journal/entry/593563,Visiting Tracce and Shilpa for a couple days before I take the train over to Harper's Ferry.,,Harper's Ferry,"Jun 10, Sun",0
Getaway,https://www.trailjournals.com//journal/entry/594015,Had to correct a minor problem with my sleeping pad.,"Harper's Ferry
",Harper's Ferry ,"Jun 12, Tue",0
